Date,avg_hourly_wage,cpi_energy,cpi_food,housing_price_index,black_ur,pce_inflation,total_population,u6,ur,real_personal_income,log(M2)
2/1/2012,0.03,1.212,-1.027,1.13,0.4,-0.032,154.123,-0.1,0,84.315,0.002332386
3/1/2012,0.09,-7.167,-1.204,1.818,0,0.022,158.718,-0.4,-0.1,52.808,0.001993054
4/1/2012,0.03,-7.963,-0.411,1.242,-0.7,-0.073,166.085,0.1,0,59.665,0.002379653
5/1/2012,0,-10.638,-0.672,1.047,0.2,-0.132,161.729,0.1,0,5.333,0.001920632
6/1/2012,0.07,-0.699,-0.061,0.867,1,-0.004,185.389,-0.1,0,0.523,0.003095421
7/1/2012,0.05,-2.982,-0.742,0.714,-0.3,-0.042,191.517,0,0,-83.441,0.002270441
8/1/2012,-0.02,10.726,-0.748,0.978,-0.4,-0.133,209.823,-0.1,-0.1,-26.608,0.002993171
9/1/2012,0.08,6.33,-0.806,1.269,-0.2,0.057,222.676,0.2,-0.3,105.782,0.003394479
10/1/2012,-0.01,4.925,0.193,1.368,0.5,0.195,205.499,-0.4,0,94.095,0.002822709
11/1/2012,0.07,-8.183,0.206,1.738,-0.8,-0.1,198.152,0,-0.1,190.256,0.002959989
12/1/2012,0.1,0.176,0.005,1.407,0.7,-0.091,177.158,0,0.2,350.528,0.005096627
1/1/2013,0.03,-1.206,-0.4,1.445,-0.3,-0.089,155.11,0.1,0.1,-722.703,0.000813255
2/1/2013,0.01,6.649,0.071,1.023,0.1,-0.017,128.817,-0.2,-0.3,-32.151,0.000103622
3/1/2013,0.04,-9.945,-0.172,0.93,-0.8,-0.076,140.348,-0.4,-0.2,48.874,0.002813197
4/1/2013,0.06,-6.057,0.012,0.397,0.3,-0.073,153.898,0.1,0.1,53.725,0.001479822
5/1/2013,0.02,7.866,-0.38,0.314,0.1,0.008,164.066,-0.1,-0.1,68.894,0.001728285
6/1/2013,0.08,8.152,0.028,0.452,0.8,0.063,185.655,0.3,0,1.792,0.002315417
7/1/2013,0.01,2.604,0.093,0.751,-1.6,0.026,186.006,-0.4,-0.2,-27.058,0.001862108
8/1/2013,0.05,-9.572,-0.082,0.687,0.2,0.055,219.765,-0.2,-0.1,26.766,0.00239397
9/1/2013,0.03,-10.088,-0.121,0.624,0.2,-0.01,224.012,-0.1,0,54.652,0.002044385
10/1/2013,0.03,-3.821,-0.179,0.268,-0.2,-0.026,214.362,0.1,0,-34.107,0.004599674
11/1/2013,0.07,7.962,-0.204,-0.189,-0.5,0.07,203.971,-0.5,-0.3,43.782,0.00049136
12/1/2013,0.01,7.126,-0.183,0.009,-0.4,0.066,181.741,0,-0.2,38.602,0.002369725
1/1/2014,0.04,4.29,-0.055,-0.352,0.2,-0.114,180.589,-0.5,-0.1,75.133,0.001972783
2/1/2014,0.11,-11.086,0.787,-0.344,-0.3,-0.058,158.178,0,0.1,79.834,0.003195539
3/1/2014,-0.01,9.137,0.766,-1.483,0.3,0.102,161.536,0.1,0,73.919,0.001538579
4/1/2014,0.03,6.025,0.311,-1.229,-0.5,0.117,170.234,-0.4,-0.5,45.155,0.00218966
5/1/2014,0.06,-0.646,1.299,-1.178,-0.2,0.073,178.504,0,0.1,45.403,0.002677538
6/1/2014,0.05,-1.742,-0.287,-1.043,-0.4,-0.047,192.863,-0.3,-0.2,60.247,0.002081355
7/1/2014,0.03,-1.245,0.317,-0.938,0.6,0.06,196.434,0.1,0.1,51.542,0.002253727
8/1/2014,0.08,-4.892,0.348,-0.795,-0.2,-0.079,229.576,-0.1,-0.1,77.986,0.001118705
9/1/2014,0,-2.001,0.586,-0.486,-0.4,0.014,229.669,-0.3,-0.2,54.9,0.00126691
10/1/2014,0.02,-3.758,0.123,-0.21,-0.4,-0.123,226.599,-0.2,-0.2,68.822,0.002274922
11/1/2014,0.07,-8.809,0.404,-0.057,0.3,-0.068,208.636,-0.1,0.1,80.848,0.001537473
12/1/2014,0,-13.495,0.496,-0.113,-0.3,-0.042,180.106,-0.2,-0.2,98.833,0.002865385
1/1/2015,0.08,-23.217,-0.36,-0.299,-0.3,-0.114,180.649,0,0.1,129.117,0.002362368
2/1/2015,0.05,3.51,-0.538,-0.121,-0.2,0.041,144.023,-0.3,-0.2,53.947,0.004368097
3/1/2015,0.06,2.7,-1.364,0.141,-0.2,-0.035,154.433,0,-0.1,-30.873,0.000578132
4/1/2015,0.05,-2.083,-0.825,0.099,-0.2,-0.019,169.668,0,0,44.908,0.001744362
5/1/2015,0.07,6.047,-0.841,0.165,0.6,-0.053,179.833,0,0.2,30.979,0.001200192
6/1/2015,0.02,2.541,0.387,0.072,-0.6,0.007,187.742,-0.5,-0.3,6.181,0.001649389
7/1/2015,0.03,0.578,-0.316,0.122,-0.6,-0.097,202.814,-0.1,-0.1,26.274,0.001898992
8/1/2015,0.09,0.001,-0.06,0.13,0.3,0.037,222.359,-0.1,-0.1,32.339,0.001829746
9/1/2015,0.01,-7.244,0.046,0.318,-0.1,0.007,223.286,-0.2,-0.1,43.053,0.001957792
10/1/2015,0.09,2.919,-0.048,0.339,-0.3,-0.078,223.532,-0.2,0,41.097,0.001155494
11/1/2015,0.04,7.543,-0.819,0.347,0.4,0,201.368,0.2,0.1,-1.002,0.003165384
12/1/2015,0.03,5.509,-1.048,0.172,-0.9,-0.028,184.93,-0.1,-0.1,65.374,0.0020459
1/1/2016,0.09,13.702,0.282,0.128,0,0.216,187.916,-0.2,-0.2,11.923,0.004418574
2/1/2016,0.03,-11.929,-0.015,-0.141,0.1,0.061,163.357,-0.1,0.1,9.698,0.002625571
3/1/2016,0.06,3.097,-0.174,-0.138,0.3,-0.008,151.492,0.2,0.1,0.18,0.002217256
4/1/2016,0.08,6.659,0.277,0.014,-0.1,0.089,167.866,0.1,0.1,-21.054,0.003048319
5/1/2016,0.04,-3.513,-0.602,-0.033,-0.6,0.033,176.905,0,-0.3,-3.746,0.0022961
6/1/2016,0.06,1.261,-0.78,-0.028,0.5,0.003,186.595,-0.4,0.1,13.189,0.002250174
7/1/2016,0.06,-3.461,-0.236,0.057,-0.5,0.088,200.702,0.1,-0.1,57.85,0.002043202
8/1/2016,0.03,2.77,-0.489,0.194,-0.2,0.123,208.416,0,0.1,12.852,0.002914716
9/1/2016,0.05,14.804,-0.64,0.182,0.5,-0.012,206.585,0.1,0.1,35.13,0.002026726
10/1/2016,0.11,5.366,-0.236,0.069,0,0.143,207.975,-0.1,-0.1,20.419,0.002279173
11/1/2016,0.03,0.895,0.142,0.119,-0.3,-0.059,184.895,-0.2,-0.2,34.898,0.002362861
12/1/2016,0.03,8.112,0.319,0.196,-0.2,0.071,166.483,-0.2,0,35.298,0.001089518
1/1/2017,0.09,10.764,0.164,0.334,-0.5,0.08,161.381,0,0,47.844,0.002393247
2/1/2017,0.05,7.598,0.336,0.123,0.5,-0.012,130.638,-0.2,-0.1,55.842,0.002240292
3/1/2017,0.03,-7.438,1.052,0.186,-0.2,-0.202,132.615,-0.2,-0.2,57.467,0.002244974
4/1/2017,0.06,-4.053,0.154,0.116,-0.1,0.015,144.642,-0.2,0,10.042,0.002011246
5/1/2017,0.04,-6.388,0.661,0.151,0,-0.05,156.675,-0.1,0,94.456,0.001668418
6/1/2017,0.05,-4.944,-0.037,0.162,-0.8,0.048,165.7,0,-0.1,9.942,0.000772564
7/1/2017,0.09,2.039,0.432,0.148,0.4,-0.112,179.014,0,0,53.675,0.001987592
8/1/2017,0.02,5.73,0.2,0.2,0.4,-0.085,180.427,0.1,0.1,30.008,0.001861094
9/1/2017,0.12,7.802,0.328,0.181,-0.5,0.086,178.836,-0.3,-0.1,32.413,0.001347093
10/1/2017,0,-8.131,0.161,0.189,0.4,0.121,176.35,-0.2,-0.1,54.079,0.001743421
11/1/2017,0.05,4.326,0.251,0.152,-0.1,0.003,157.213,-0.1,0,34.083,0.000843926
12/1/2017,0.11,-2.614,0.489,0.223,-0.8,0.028,137.88,0.1,-0.1,43.027,0.001507423
1/1/2018,0.08,-2.558,0.139,0.012,0.8,0.016,126.527,-0.1,-0.1,37.435,0.000498183
2/1/2018,0.02,4.745,-0.583,0.42,-0.7,0.06,105.631,0.1,0.1,29.092,0.001316334
3/1/2018,0.1,-1.851,-0.338,0.164,-0.1,0.319,108.279,-0.2,-0.1,34.441,0.001726126
4/1/2018,0.04,0.917,0.243,0.035,-0.4,-0.07,119.675,0,0,10.724,0.000857393
5/1/2018,0.08,6.869,-0.356,-0.16,-0.4,0.105,131.974,-0.1,-0.2,35.63,0.001975491
