Date,avg_hourly_wage,cpi_energy,cpi_food,housing_price_index,black_ur,pce_inflation,total_population,u6,ur,real_personal_income
2/1/2012,0.03,1.212,-1.027,1.13,0.4,-0.032,154.123,-0.1,0,84.315
3/1/2012,0.09,-7.167,-1.204,1.818,0,0.022,158.718,-0.4,-0.1,52.808
4/1/2012,0.03,-7.963,-0.411,1.242,-0.7,-0.073,166.085,0.1,0,59.665
5/1/2012,0,-10.638,-0.672,1.047,0.2,-0.132,161.729,0.1,0,5.333
6/1/2012,0.07,-0.699,-0.061,0.867,1,-0.004,185.389,-0.1,0,0.523
7/1/2012,0.05,-2.982,-0.742,0.714,-0.3,-0.042,191.517,0,0,-83.441
8/1/2012,-0.02,10.726,-0.748,0.978,-0.4,-0.133,209.823,-0.1,-0.1,-26.608
9/1/2012,0.08,6.33,-0.806,1.269,-0.2,0.057,222.676,0.2,-0.3,105.782
10/1/2012,-0.01,4.925,0.193,1.368,0.5,0.195,205.499,-0.4,0,94.095
11/1/2012,0.07,-8.183,0.206,1.738,-0.8,-0.1,198.152,0,-0.1,190.256
12/1/2012,0.1,0.176,0.005,1.407,0.7,-0.091,177.158,0,0.2,350.528
1/1/2013,0.03,-1.206,-0.4,1.445,-0.3,-0.089,155.11,0.1,0.1,-722.703
2/1/2013,0.01,6.649,0.071,1.023,0.1,-0.017,128.817,-0.2,-0.3,-32.151
3/1/2013,0.04,-9.945,-0.172,0.93,-0.8,-0.076,140.348,-0.4,-0.2,48.874
4/1/2013,0.06,-6.057,0.012,0.397,0.3,-0.073,153.898,0.1,0.1,53.725
5/1/2013,0.02,7.866,-0.38,0.314,0.1,0.008,164.066,-0.1,-0.1,68.894
6/1/2013,0.08,8.152,0.028,0.452,0.8,0.063,185.655,0.3,0,1.792
7/1/2013,0.01,2.604,0.093,0.751,-1.6,0.026,186.006,-0.4,-0.2,-27.058
8/1/2013,0.05,-9.572,-0.082,0.687,0.2,0.055,219.765,-0.2,-0.1,26.766
9/1/2013,0.03,-10.088,-0.121,0.624,0.2,-0.01,224.012,-0.1,0,54.652
10/1/2013,0.03,-3.821,-0.179,0.268,-0.2,-0.026,214.362,0.1,0,-34.107
11/1/2013,0.07,7.962,-0.204,-0.189,-0.5,0.07,203.971,-0.5,-0.3,43.782
12/1/2013,0.01,7.126,-0.183,0.009,-0.4,0.066,181.741,0,-0.2,38.602
1/1/2014,0.04,4.29,-0.055,-0.352,0.2,-0.114,180.589,-0.5,-0.1,75.133
2/1/2014,0.11,-11.086,0.787,-0.344,-0.3,-0.058,158.178,0,0.1,79.834
3/1/2014,-0.01,9.137,0.766,-1.483,0.3,0.102,161.536,0.1,0,73.919
4/1/2014,0.03,6.025,0.311,-1.229,-0.5,0.117,170.234,-0.4,-0.5,45.155
5/1/2014,0.06,-0.646,1.299,-1.178,-0.2,0.073,178.504,0,0.1,45.403
6/1/2014,0.05,-1.742,-0.287,-1.043,-0.4,-0.047,192.863,-0.3,-0.2,60.247
7/1/2014,0.03,-1.245,0.317,-0.938,0.6,0.06,196.434,0.1,0.1,51.542
8/1/2014,0.08,-4.892,0.348,-0.795,-0.2,-0.079,229.576,-0.1,-0.1,77.986
9/1/2014,0,-2.001,0.586,-0.486,-0.4,0.014,229.669,-0.3,-0.2,54.9
10/1/2014,0.02,-3.758,0.123,-0.21,-0.4,-0.123,226.599,-0.2,-0.2,68.822
11/1/2014,0.07,-8.809,0.404,-0.057,0.3,-0.068,208.636,-0.1,0.1,80.848
12/1/2014,0,-13.495,0.496,-0.113,-0.3,-0.042,180.106,-0.2,-0.2,98.833
1/1/2015,0.08,-23.217,-0.36,-0.299,-0.3,-0.114,180.649,0,0.1,129.117
2/1/2015,0.05,3.51,-0.538,-0.121,-0.2,0.041,144.023,-0.3,-0.2,53.947
3/1/2015,0.06,2.7,-1.364,0.141,-0.2,-0.035,154.433,0,-0.1,-30.873
4/1/2015,0.05,-2.083,-0.825,0.099,-0.2,-0.019,169.668,0,0,44.908
5/1/2015,0.07,6.047,-0.841,0.165,0.6,-0.053,179.833,0,0.2,30.979
6/1/2015,0.02,2.541,0.387,0.072,-0.6,0.007,187.742,-0.5,-0.3,6.181
7/1/2015,0.03,0.578,-0.316,0.122,-0.6,-0.097,202.814,-0.1,-0.1,26.274
